region,center_crs,center_lat,center_lon,target_crs,target_width,target_height
198-chukchi_east_siberian_seas-100km,EPSG:4326,74.90445120146457,178.76802259736027,EPSG:3413,100_000,100_000
199-chukchi_east_siberian_seas-100km,EPSG:4326,74.54322462696989,154.51079944371327,EPSG:3413,100_000,100_000
200-chukchi_east_siberian_seas-100km,EPSG:4326,74.0076382307174,-173.59564727361587,EPSG:3413,100_000,100_000
202-chukchi_east_siberian_seas-100km,EPSG:4326,76.06543314580152,158.81865049973374,EPSG:3413,100_000,100_000
206-chukchi_east_siberian_seas-100km,EPSG:4326,78.27969013699676,-177.6140559696112,EPSG:3413,100_000,100_000
208-chukchi_east_siberian_seas-100km,EPSG:4326,75.69185601903224,170.85835977647508,EPSG:3413,100_000,100_000
221-chukchi_east_siberian_seas-100km,EPSG:4326,75.69185601903224,152.2717425776809,EPSG:3413,100_000,100_000
222-chukchi_east_siberian_seas-100km,EPSG:4326,76.03546416302942,146.86439045128114,EPSG:3413,100_000,100_000
223-chukchi_east_siberian_seas-100km,EPSG:4326,73.15462423928713,-172.2596588411621,EPSG:3413,100_000,100_000
225-chukchi_east_siberian_seas-100km,EPSG:4326,75.10248262521975,150.64224645720873,EPSG:3413,100_000,100_000
226-chukchi_east_siberian_seas-100km,EPSG:4326,75.49262615378512,148.26648084658368,EPSG:3413,100_000,100_000
229-chukchi_east_siberian_seas-100km,EPSG:4326,70.34470455681678,174.33629374197946,EPSG:3413,100_000,100_000
232-chukchi_east_siberian_seas-100km,EPSG:4326,75.51782426482085,176.14319901441013,EPSG:3413,100_000,100_000
234-chukchi_east_siberian_seas-100km,EPSG:4326,77.2378149436017,-173.418055344822,EPSG:3413,100_000,100_000
238-chukchi_east_siberian_seas-100km,EPSG:4326,76.1935547516979,154.94238458169698,EPSG:3413,100_000,100_000
240-chukchi_east_siberian_seas-100km,EPSG:4326,73.34954438997262,148.94059117029002,EPSG:3413,100_000,100_000
241-chukchi_east_siberian_seas-100km,EPSG:4326,70.56254646642313,168.97046877601952,EPSG:3413,100_000,100_000
244-chukchi_east_siberian_seas-100km,EPSG:4326,75.53945903477262,151.13284053048537,EPSG:3413,100_000,100_000
245-greenland_sea-100km,EPSG:4326,79.55205034437945,4.467159061389275,EPSG:3413,100_000,100_000
247-greenland_sea-100km,EPSG:4326,79.58235715188954,0.8951737102110717,EPSG:3413,100_000,100_000
255-greenland_sea-100km,EPSG:4326,76.1784176523337,-19.925580658184323,EPSG:3413,100_000,100_000
256-greenland_sea-100km,EPSG:4326,80.76347686311696,-9.13017648227869,EPSG:3413,100_000,100_000
